Yazici_Modeli,Nozzle_Capi,Katman_Yuksekligi,Nozzle_Sicakligi,Yatak_Sicakligi,Ortam_Sicakligi,Baski_Hizi,Filament_Tipi,Doluluk_Orani,Doluluk_Deseni,Utuleme,Destek_Tipi,Hata_Detayi,Baski_Durumu
Ender-3 V3 SE,0.6,0.28,234,50,54,348.0,ASA,62,Grid,1,Yok,Warping (Kasa Acik),0
Ender-3 V2,0.4,0.2,241,83,33,228.0,ABS,77,Cubic,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini Combo,0.4,0.12,268,108,33,345.0,ABS,83,Grid,0,Normal,Warping (Kasa Acik),0
Creality K1C,0.4,0.08,271,41,56,65.0,ASA,67,Cubic,1,Tree,Warping (Soguk Yatak),0
Ultimaker S3,0.6,0.16,202,79,39,426.0,Recine_UV,65,Grid,1,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.6,0.12,213,76,48,385.0,ABS,56,Gyroid,1,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.6,0.08,229,88,42,78.0,PLA,37,Grid,1,Tree,Basarili,1
Foto 9.25,0.4,0.08,203,114,40,232.0,Recine_UV,26,Grid,0,Yok,Basarili,1
Neptune 3,0.6,0.08,264,75,50,202.0,PLA,55,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.12,259,114,51,,PLA,15,Cubic,0,Tree,Basarili,1
Bambu Lab A1 Combo,0.4,0.16,251,112,26,213.0,ABS,62,Lightning,1,Yok,Warping (Kasa Acik),0
Bambu Lab A1,0.2,0.16,278,109,32,,Recine_UV,54,Gyroid,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.4,0.08,250,73,42,250.0,ABS,74,Grid,0,Tree,Warping (Soguk Yatak),0
Ender-3 V3 SE,0.4,0.12,190,97,27,317.0,ABS,21,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Elegoo Neptune 4 Pro,0.4,0.08,278,76,31,227.0,Recine_UV,50,Gyroid,0,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.28,255,99,55,429.0,Recine_UV,48,Grid,0,Yok,Basarili,1
Bambu Lab X1 Carbon,0.4,0.16,221,51,35,347.0,Recine_UV,61,Grid,1,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.4,0.2,202,71,45,370.0,Recine_UV,9,Lightning,0,Tree,Basarili,1
Sketch,0.4,0.08,222,43,48,253.0,PETG,43,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.4,0.28,221,72,48,368.0,Recine_UV,62,Grid,0,Tree,Basarili,1
Bambu Lab A1 Combo,0.4,0.16,245,82,25,68.0,ASA,13,Cubic,0,Normal,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.2,0.12,213,48,56,210.0,Recine_UV,97,Cubic,0,Normal,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.16,193,90,52,161.0,ABS,27,Cubic,0,Tree,Warping (Kasa Acik),0
Creality K1 Max,0.4,0.12,277,59,50,198.0,ASA,51,Cubic,1,Tree,Warping (Soguk Yatak),0
Bambu Lab P1S,0.4,0.12,212,78,37,125.0,TPU,40,Gyroid,1,Tree,Basarili,1
Bambu Lab A1,0.4,0.08,218,62,57,341.0,PLA,35,Gyroid,1,Yok,Tikanma (Yetersiz Akis),0
Ender-3 V3 SE,0.4,0.08,210,80,50,43.0,PETG,88,Lightning,0,Tree,Basarili,1
XY-2 Pro,0.6,0.16,219,83,35,41.0,ASA,27,Gyroid,1,Normal,Warping (Kasa Acik),0
HALOT-One Plus,0.4,0.28,279,74,59,172.0,PLA,60,Grid,1,Tree,Hatali Malzeme (Reçine Cihazi),0
Original Prusa MK4,0.4,0.16,209,62,56,341.0,PETG,75,Lightning,1,Normal,Tikanma (Yetersiz Akis),0
Creality K1 Max,0.2,0.2,205,97,33,118.0,Recine_UV,50,Gyroid,0,Yok,Basarili,1
Saturn 3 Ultra,0.4,0.12,256,87,58,186.0,PLA,62,Gyroid,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Ender-3 V3 SE,0.4,0.12,238,97,23,205.0,ABS,40,Grid,0,Yok,Warping (Kasa Acik),0
Anycubic Kobra 2 Pro,0.4,0.08,247,96,49,354.0,ABS,72,Grid,1,Yok,Warping (Kasa Acik),0
Ender-3 V3 KE,0.4,0.28,233,78,52,277.0,Recine_UV,92,Grid,0,Yok,Basarili,1
Pro2 Plus,0.4,0.08,214,67,55,367.0,PLA,64,Cubic,0,Tree,Tikanma (Yetersiz Akis),0
E2CF,0.4,0.2,212,103,49,315.0,Recine_UV,18,Gyroid,0,Yok,Basarili,1
Ender-3 V3 SE,0.6,0.16,248,101,33,243.0,Recine_UV,29,Gyroid,1,Yok,Basarili,1
Bambu Lab A1 Mini,0.6,0.16,190,101,42,92.0,PETG,75,Gyroid,1,Tree,Basarili,1
Bambu Lab A1 Mini Combo,0.6,0.28,204,65,47,146.0,PLA,83,Lightning,1,Yok,Basarili,1
Creality K1 Max,0.8,0.08,270,90,26,94.0,TPU,48,Lightning,1,Tree,Basarili,1
LD-006,0.2,0.08,270,89,29,285.0,Recine_UV,50,Lightning,0,Yok,Basarili,1
T1,0.4,0.2,241,75,23,416.0,PETG,17,Lightning,0,Yok,Basarili,1
Creator 4,0.2,0.16,247,65,57,203.0,PETG,66,Lightning,1,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.08,230,72,32,54.0,PLA,23,Grid,1,Tree,Basarili,1
Original Prusa MK4,0.6,0.28,233,107,40,40.0,ASA,16,Lightning,0,Tree,Warping (Kasa Acik),0
Kobra 3 Combo,0.4,0.16,193,112,52,390.0,Recine_UV,94,Gyroid,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab X1 Carbon,0.8,0.2,266,47,59,176.0,Recine_UV,52,Cubic,0,Yok,Basarili,1
Ender-3 V3 SE,0.2,0.28,257,105,47,190.0,PLA,37,Gyroid,0,Tree,Basarili,1
Anycubic Kobra 2 Pro,0.8,0.12,196,62,42,219.0,ASA,83,Gyroid,0,Tree,Basarili,1
HALOT-Mage,0.4,0.2,235,109,51,449.0,PETG,41,Grid,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab X1 Carbon,0.4,0.28,198,94,24,271.0,ABS,10,Cubic,1,Normal,Basarili,1
Ender-3 V3 KE,0.4,0.08,276,82,45,227.0,Recine_UV,93,Gyroid,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.4,0.12,222,60,58,57.0,ABS,85,Grid,0,Yok,Basarili,1
Ender-3 S1 Plus,0.4,0.2,222,61,45,264.0,Recine_UV,47,Cubic,0,Yok,Basarili,1
Bambu Lab X1 Carbon,0.4,0.08,273,48,22,144.0,PLA,54,Cubic,1,Tree,Basarili,1
Sidewinder X1,0.6,0.12,193,73,43,245.0,Recine_UV,50,Grid,0,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.16,254,98,53,225.0,ASA,77,Lightning,0,Tree,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.4,0.08,223,65,53,104.0,Recine_UV,32,Grid,0,Normal,Basarili,1
Replicator 2X,0.4,0.28,274,40,39,372.0,PLA,71,Grid,0,Yok,Basarili,1
Creality K1 Max,0.6,0.2,277,44,49,411.0,TPU,15,Lightning,0,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.12,268,80,39,,PLA,24,Grid,0,Tree,Basarili,1
Saturn 3 Ultra,0.4,0.08,253,102,37,,PLA,91,Grid,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Ender-3 V2,0.4,0.16,214,61,57,108.0,PLA,34,Grid,0,Yok,Basarili,1
Ender-3 V2,0.4,0.2,244,107,39,181.0,PLA,40,Gyroid,0,Yok,Basarili,1
Bambu Lab A1,0.4,0.2,198,87,25,,ASA,80,Grid,1,Normal,Warping (Kasa Acik),0
Creality K1 Max,0.4,0.08,206,105,44,213.0,Recine_UV,72,Grid,1,Tree,Basarili,1
Ender-3 V3 SE,0.4,0.16,210,55,22,236.0,ASA,92,Cubic,0,Normal,Warping (Kasa Acik),0
Creality K1 Max,0.6,0.12,249,92,38,370.0,ASA,40,Cubic,0,Normal,Basarili,1
Bambu Lab A1 Mini,0.4,0.08,202,104,29,346.0,TPU,62,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Ender-3 Max Neo,0.4,0.12,192,103,24,236.0,TPU,32,Grid,0,Normal,Basarili,1
Bambu Lab A1 Mini,0.4,0.2,257,107,41,267.0,Recine_UV,43,Lightning,1,Normal,Basarili,1
Genius Pro,0.8,0.12,193,102,28,310.0,Recine_UV,70,Grid,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.4,0.16,196,101,52,238.0,PLA,47,Gyroid,1,Tree,Basarili,1
Anycubic Kobra 2 Pro,0.6,0.28,215,110,34,364.0,ASA,9,Gyroid,1,Normal,Tikanma (Yetersiz Akis),0
Original Prusa MK4,0.4,0.16,264,84,43,,TPU,96,Gyroid,0,Tree,Basarili,1
P1P,0.2,0.12,213,91,49,325.0,ABS,17,Gyroid,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab P1S Combo,0.4,0.08,199,113,55,373.0,PLA,13,Grid,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.8,0.2,202,104,58,447.0,PETG,98,Cubic,0,Normal,Tikanma (Yetersiz Akis),0
Anycubic Kobra 2 Pro,0.4,0.28,233,41,25,255.0,ASA,61,Grid,1,Tree,Warping (Kasa Acik),0
Bambu Lab A1 Mini,0.6,0.08,228,88,34,74.0,PLA,31,Grid,0,Tree,Basarili,1
Kobra 2 Neo,0.6,0.08,208,61,57,108.0,Recine_UV,65,Grid,0,Yok,Basarili,1
Original Prusa MK4,0.4,0.16,240,68,58,435.0,PLA,81,Grid,1,Tree,Basarili,1
Bambu Lab X1 Carbon,0.4,0.12,208,74,41,251.0,PETG,54,Lightning,1,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.16,265,63,22,85.0,Recine_UV,96,Cubic,0,Yok,Basarili,1
Creality K1 Max,0.4,0.12,241,69,48,421.0,ABS,86,Cubic,1,Tree,Warping (Soguk Yatak),0
Creality K1C,0.6,0.16,275,81,48,287.0,TPU,38,Gyroid,0,Tree,Basarili,1
Creality K1C,0.8,0.08,236,110,50,124.0,TPU,89,Grid,1,Normal,Basarili,1
Creality K1 Max,0.4,0.2,219,89,21,87.0,PETG,69,Gyroid,0,Yok,Basarili,1
Photon Mono X6Ks,0.4,0.12,235,110,54,270.0,PETG,49,Cubic,1,Tree,Hatali Malzeme (Reçine Cihazi),0
Creality K1C,0.6,0.28,265,99,28,106.0,TPU,91,Cubic,0,Yok,Basarili,1
Creality K1C,0.4,0.28,210,69,41,128.0,ABS,38,Gyroid,0,Yok,Warping (Soguk Yatak),0
Ender-3 V3,0.6,0.08,264,51,38,258.0,ABS,77,Cubic,0,Yok,Warping (Kasa Acik),0
Voron 2.1,0.4,0.16,237,88,56,91.0,PLA,12,Cubic,0,Yok,Basarili,1
Genius,0.4,0.16,251,85,29,61.0,PETG,98,Lightning,0,Normal,Basarili,1
Anycubic Kobra 2 Pro,0.2,0.08,247,82,40,138.0,PETG,52,Grid,1,Yok,Basarili,1
Bambu Lab P1S,0.4,0.28,207,41,36,170.0,PETG,40,Grid,1,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.28,248,114,22,127.0,Recine_UV,86,Cubic,1,Tree,Basarili,1
M1 Pro,0.4,0.16,237,93,26,175.0,TPU,70,Cubic,1,Tree,Basarili,1
Creality K1 Max,0.4,0.12,252,74,56,413.0,TPU,15,Lightning,1,Yok,Basarili,1
Bambu Lab P1S,0.6,0.2,201,91,55,78.0,TPU,56,Gyroid,1,Yok,Basarili,1
Bambu Lab A1 Mini,0.6,0.12,276,72,22,,ABS,40,Lightning,0,Normal,Basarili,1
Bambu Lab P1S,0.4,0.28,223,111,32,144.0,TPU,99,Lightning,1,Yok,Basarili,1
Ender-3 V3,0.2,0.12,250,90,49,426.0,PLA,35,Gyroid,0,Yok,Basarili,1
Bambu Lab P1S Combo,0.2,0.2,276,65,42,185.0,Recine_UV,28,Cubic,1,Yok,Basarili,1
Ender-3 V2,0.4,0.12,242,101,26,375.0,TPU,25,Grid,0,Tree,Basarili,1
Sidewinder X1,0.4,0.12,214,100,49,263.0,Recine_UV,34,Lightning,0,Tree,Basarili,1
Kobra 3 Combo,0.4,0.12,251,65,48,156.0,Recine_UV,76,Lightning,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.4,0.12,193,76,27,40.0,ABS,68,Grid,0,Normal,Warping (Soguk Yatak),0
Ender-3 V3 KE,0.4,0.08,202,69,29,156.0,PETG,43,Lightning,0,Tree,Basarili,1
Adventurer 3 Pro,0.4,0.28,231,50,52,423.0,Recine_UV,5,Gyroid,1,Yok,Basarili,1
Finder,0.4,0.2,238,92,39,65.0,PLA,46,Grid,0,Normal,Basarili,1
Vyper,0.8,0.28,267,80,48,51.0,ABS,81,Grid,0,Normal,Warping (Kasa Acik),0
Ender-3 V3 KE,0.4,0.08,245,44,48,333.0,ASA,90,Gyroid,0,Tree,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.4,0.08,236,105,40,380.0,Recine_UV,9,Gyroid,0,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.08,197,52,20,208.0,Recine_UV,16,Grid,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.08,244,102,53,92.0,PETG,33,Gyroid,0,Tree,Basarili,1
X-Smart,0.6,0.12,277,64,51,308.0,TPU,7,Lightning,0,Yok,Basarili,1
Bambu Lab A1,0.4,0.28,207,83,33,287.0,ABS,65,Cubic,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1,0.8,0.16,224,53,56,167.0,ASA,55,Lightning,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Combo,0.4,0.2,278,108,54,115.0,ABS,40,Gyroid,1,Yok,Warping (Kasa Acik),0
Original Prusa MK4,0.4,0.08,270,98,43,308.0,TPU,79,Lightning,0,Yok,Basarili,1
Ender-5,0.6,0.28,221,95,20,185.0,ABS,94,Cubic,0,Yok,Warping (Kasa Acik),0
M1 Pro,0.4,0.08,213,91,25,442.0,ASA,6,Cubic,0,Normal,Tikanma (Yetersiz Akis),0
Original Prusa MK4,0.4,0.08,196,105,23,442.0,ABS,33,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.2,0.08,202,107,57,87.0,PLA,45,Gyroid,0,Normal,Basarili,1
Elegoo Neptune 4 Pro,0.2,0.08,258,51,20,238.0,PLA,33,Gyroid,0,Yok,Basarili,1
Ender-3 V3 SE,0.6,0.08,279,114,50,110.0,TPU,68,Gyroid,1,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.2,231,107,55,131.0,ASA,62,Cubic,0,Tree,Warping (Kasa Acik),0
Bambu Lab A1,0.4,0.28,220,82,28,442.0,ASA,87,Gyroid,0,Tree,Tikanma (Yetersiz Akis),0
Mega S,0.4,0.08,263,112,42,248.0,ASA,14,Grid,0,Normal,Warping (Kasa Acik),0
Bambu Lab A1 Combo,0.4,0.08,215,113,50,381.0,ASA,15,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Ender-3 V2,0.2,0.08,275,45,48,378.0,ASA,11,Lightning,0,Yok,Basarili,1
Creality K1 Max,0.4,0.08,265,54,40,87.0,PETG,81,Grid,0,Tree,Basarili,1
Bambu Lab P1S,0.2,0.12,221,81,22,68.0,ABS,65,Gyroid,1,Yok,Warping (Soguk Yatak),0
SV05,0.6,0.12,241,70,45,215.0,Recine_UV,70,Lightning,0,Tree,Basarili,1
Ender-3 V3 KE,0.4,0.16,209,92,25,58.0,ASA,98,Cubic,0,Normal,Warping (Kasa Acik),0
Ender-3 V3 SE,0.4,0.08,229,45,39,,Recine_UV,90,Lightning,1,Tree,Basarili,1
Ender-3 V3 KE,0.6,0.16,248,72,32,86.0,PLA,57,Lightning,0,Normal,Basarili,1
Bambu Lab A1 Mini,0.4,0.2,266,68,42,384.0,Recine_UV,69,Lightning,0,Yok,Basarili,1
Ender-3 V2,0.4,0.16,203,60,34,99.0,Recine_UV,31,Gyroid,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.28,233,93,50,215.0,ABS,11,Grid,0,Normal,Basarili,1
X5SA-400,0.4,0.12,275,95,23,294.0,Recine_UV,69,Lightning,1,Tree,Basarili,1
Ender-3 V3 SE,0.4,0.12,271,60,30,443.0,TPU,62,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.8,0.08,237,94,21,268.0,TPU,29,Lightning,0,Yok,Basarili,1
Neptune 2,0.4,0.08,232,97,35,186.0,ASA,52,Gyroid,1,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.2,205,103,50,337.0,PETG,8,Gyroid,0,Normal,Tikanma (Yetersiz Akis),0
Creality K1 Max,0.6,0.2,224,85,58,372.0,PETG,98,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.28,242,61,23,278.0,ABS,12,Lightning,0,Tree,Warping (Kasa Acik),0
Bambu Lab P1S,0.2,0.08,223,99,47,371.0,PETG,89,Lightning,1,Normal,Tikanma (Yetersiz Akis),0
Ender-3 V2,0.4,0.08,192,50,35,438.0,Recine_UV,72,Cubic,1,Tree,Basarili,1
Mars 2 Pro,0.8,0.2,257,86,58,227.0,TPU,64,Grid,0,Tree,Hatali Malzeme (Reçine Cihazi),0
Elegoo Neptune 4 Pro,0.4,0.2,194,70,44,363.0,ASA,8,Gyroid,1,Yok,Tikanma (Yetersiz Akis),0
Creality K1C,0.4,0.2,199,57,32,374.0,PLA,12,Grid,1,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.4,0.12,241,61,24,248.0,Recine_UV,94,Grid,1,Tree,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.16,218,95,49,114.0,TPU,97,Lightning,0,Normal,Basarili,1
Ender-3 V3 KE,0.2,0.16,220,56,20,222.0,TPU,20,Cubic,1,Yok,Basarili,1
Bambu Lab A1,0.4,0.08,255,77,24,126.0,ABS,23,Gyroid,0,Tree,Warping (Kasa Acik),0
Adventurer 5M Pro,0.6,0.12,265,64,33,310.0,Recine_UV,5,Grid,1,Yok,Basarili,1
Ender-3 S1,0.4,0.2,258,71,30,219.0,PETG,38,Grid,0,Yok,Basarili,1
Original Prusa MK4,0.4,0.08,226,54,53,284.0,PLA,97,Lightning,0,Normal,Basarili,1
Bambu Lab A1 Mini Combo,0.6,0.12,216,52,48,385.0,PLA,95,Lightning,1,Tree,Tikanma (Yetersiz Akis),0
Creality K1 Max,0.8,0.28,276,97,37,46.0,PETG,49,Lightning,1,Yok,Basarili,1
SV07,0.4,0.12,222,89,34,308.0,ASA,67,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1,0.4,0.08,257,50,44,52.0,PETG,98,Gyroid,0,Yok,Basarili,1
Bambu Lab P1S,0.4,0.16,248,52,49,443.0,ASA,10,Gyroid,0,Tree,Warping (Soguk Yatak),0
Bambu Lab P1S,0.8,0.2,253,89,21,265.0,PLA,40,Lightning,0,Tree,Basarili,1
Ender-3 V2,0.8,0.28,274,77,59,305.0,Recine_UV,70,Grid,0,Yok,Basarili,1
X-Plus 3,0.4,0.12,277,40,46,281.0,ABS,82,Lightning,0,Normal,Warping (Kasa Acik),0
Elegoo Neptune 4 Pro,0.6,0.08,233,78,34,419.0,TPU,12,Lightning,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.4,0.08,277,66,51,219.0,Recine_UV,71,Cubic,0,Normal,Basarili,1
Ender-3 V2,0.4,0.2,238,75,39,,PLA,31,Lightning,0,Tree,Basarili,1
Voron 1,0.2,0.08,242,71,33,165.0,PLA,38,Gyroid,1,Normal,Basarili,1
Anycubic Kobra 2 Pro,0.6,0.08,263,80,46,322.0,PLA,32,Lightning,0,Tree,Basarili,1
SR,0.4,0.2,238,54,22,395.0,TPU,35,Gyroid,0,Tree,Basarili,1
CR-10 S4,0.6,0.28,255,70,22,229.0,ASA,21,Grid,1,Yok,Warping (Kasa Acik),0
HALOT-Play,0.6,0.16,252,45,32,55.0,ABS,87,Gyroid,0,Tree,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab P1S,0.6,0.16,214,91,44,354.0,Recine_UV,59,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Sermoon X1,0.2,0.12,193,61,37,60.0,Recine_UV,79,Lightning,0,Normal,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.28,240,70,20,55.0,ABS,13,Gyroid,0,Normal,Basarili,1
CR-M4,0.4,0.12,200,112,58,,ABS,98,Gyroid,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.4,0.16,206,85,24,72.0,ASA,61,Grid,0,Yok,Warping (Kasa Acik),0
Original Prusa MK4,0.2,0.2,255,106,21,221.0,Recine_UV,49,Gyroid,1,Tree,Basarili,1
Ender-3 V3 KE,0.8,0.08,259,82,49,,PETG,10,Gyroid,0,Tree,Basarili,1
Bambu Lab P1S,0.4,0.16,262,40,36,91.0,PETG,18,Lightning,1,Yok,Basarili,1
Bambu Lab X1 Carbon,0.4,0.28,258,83,48,104.0,ABS,35,Cubic,0,Tree,Warping (Soguk Yatak),0
Bambu Lab A1 Mini Combo,0.4,0.16,273,96,23,339.0,PLA,58,Lightning,0,Yok,Basarili,1
Plus4,0.4,0.28,218,48,28,446.0,PLA,15,Grid,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.4,0.28,274,44,40,374.0,TPU,73,Lightning,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.4,0.28,262,48,31,267.0,PETG,99,Gyroid,1,Yok,Basarili,1
Bambu Lab A1 Combo,0.8,0.12,261,84,31,261.0,PLA,6,Cubic,0,Normal,Basarili,1
Bambu Lab P1S,0.4,0.2,209,63,23,311.0,ABS,21,Lightning,0,Normal,Tikanma (Yetersiz Akis),0
H2D Pro,0.8,0.16,216,113,47,57.0,TPU,40,Lightning,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.6,0.2,197,81,28,257.0,PETG,7,Grid,0,Normal,Basarili,1
Ender-3 V2,0.4,0.08,274,61,59,,TPU,67,Gyroid,1,Yok,Basarili,1
Creator 3,0.8,0.16,250,99,51,347.0,PLA,47,Lightning,1,Yok,Basarili,1
Ender-3 V2,0.4,0.2,217,76,32,212.0,ABS,97,Lightning,1,Tree,Basarili,1
Bambu Lab A1 Combo,0.6,0.2,276,78,53,95.0,ABS,37,Cubic,0,Tree,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.4,0.08,259,113,38,388.0,ABS,82,Grid,0,Yok,Basarili,1
Ender-3 V2,0.6,0.28,192,113,33,48.0,PLA,33,Gyroid,0,Yok,Basarili,1
Mega Zero 2.0,0.6,0.16,258,92,24,440.0,ASA,27,Lightning,0,Yok,Warping (Kasa Acik),0
Bambu Lab P1S Combo,0.6,0.16,262,67,46,322.0,Recine_UV,63,Cubic,0,Tree,Basarili,1
Bambu Lab X1 Carbon,0.6,0.08,196,54,47,332.0,Recine_UV,85,Lightning,1,Yok,Tikanma (Yetersiz Akis),0
LD-002H,0.4,0.28,249,99,45,61.0,ABS,53,Lightning,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Creality K1 Max,0.2,0.16,193,99,29,111.0,Recine_UV,59,Grid,1,Tree,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.16,194,45,43,394.0,ASA,79,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab P1S,0.4,0.16,200,91,36,367.0,ABS,32,Cubic,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.4,0.28,204,51,35,,ASA,75,Gyroid,1,Yok,Warping (Kasa Acik),0
Original Prusa MK4,0.4,0.08,253,58,36,162.0,PETG,76,Lightning,1,Tree,Basarili,1
Sermoon P1,0.8,0.16,202,114,20,130.0,Recine_UV,97,Cubic,1,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.2,196,41,40,263.0,PETG,29,Lightning,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.6,0.28,195,94,41,331.0,ABS,11,Lightning,1,Tree,Tikanma (Yetersiz Akis),0
Ender-3 V3 KE,0.4,0.12,245,54,24,393.0,TPU,90,Gyroid,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.6,0.08,253,103,55,291.0,TPU,77,Gyroid,0,Yok,Basarili,1
VEHO 800,0.8,0.2,239,108,40,448.0,PLA,79,Cubic,1,Normal,Basarili,1
Ender-3 V3 KE,0.4,0.16,219,54,28,337.0,PETG,38,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.4,0.12,211,82,46,406.0,PETG,95,Cubic,0,Normal,Tikanma (Yetersiz Akis),0
Ender-3 V4,0.6,0.08,214,113,31,295.0,TPU,26,Lightning,0,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.28,217,56,37,,ABS,71,Cubic,0,Yok,Warping (Kasa Acik),0
Creality K1 Max,0.4,0.12,273,63,54,374.0,PLA,54,Cubic,0,Normal,Basarili,1
Guider 2,0.4,0.12,228,113,34,157.0,PETG,52,Lightning,0,Normal,Basarili,1
Original Prusa MK4,0.4,0.2,256,69,49,217.0,PLA,76,Grid,0,Yok,Basarili,1
Creality K1 Max,0.4,0.08,194,106,52,347.0,PETG,74,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
X-Plus,0.2,0.2,254,90,55,200.0,ASA,61,Lightning,1,Tree,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.2,0.2,204,99,59,134.0,ASA,29,Cubic,0,Yok,Basarili,1
Voron 1,0.4,0.16,279,42,49,448.0,PLA,70,Grid,1,Normal,Basarili,1
Ender-3 V3 SE,0.8,0.28,256,44,45,407.0,TPU,20,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.4,0.12,229,67,40,353.0,TPU,62,Grid,0,Normal,Basarili,1
Elegoo Neptune 4 Pro,0.8,0.08,258,50,56,207.0,PETG,45,Lightning,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.28,266,111,50,126.0,Recine_UV,55,Gyroid,0,Yok,Basarili,1
Bambu Lab A1,0.4,0.28,232,111,36,42.0,ASA,25,Cubic,1,Normal,Warping (Kasa Acik),0
Bambu Lab A1 Mini,0.4,0.08,190,54,36,411.0,ASA,83,Grid,0,Yok,Tikanma (Yetersiz Akis),0
Creality K1 Max,0.4,0.28,211,87,53,,PLA,60,Grid,1,Normal,Basarili,1
Saturn,0.4,0.16,251,85,43,169.0,Recine_UV,51,Gyroid,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.28,268,67,52,62.0,PLA,47,Cubic,1,Yok,Basarili,1
X1 Carbon Combo,0.4,0.16,215,46,23,137.0,TPU,88,Lightning,0,Tree,Basarili,1
Bambu Lab A1 Combo,0.4,0.12,207,110,28,197.0,TPU,35,Lightning,0,Yok,Basarili,1
Voron 2.4,0.4,0.12,237,45,21,278.0,Recine_UV,19,Cubic,0,Yok,Basarili,1
HALOT-SKY 2025,0.4,0.2,198,97,54,49.0,Recine_UV,52,Gyroid,0,Yok,Basarili,1
K2 Pro,0.2,0.16,190,107,57,360.0,TPU,66,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.6,0.12,198,94,34,61.0,ABS,96,Gyroid,0,Yok,Warping (Kasa Acik),0
Creality K1C,0.4,0.28,212,106,22,347.0,ASA,74,Grid,0,Yok,Tikanma (Yetersiz Akis),0
